Today's date_Day,Today's date_Month,Today's date_Year,Case Number and date case was registered_Code,Case Number and date case was registered_No,Case Number and date case was registered_Day,Case Number and date case was registered_Month,Case Number and date case was registered_Year,Case type_Case type,Date last in Court_Day,Date last in Court_Month,Date last in Court_Year,What was the last outcome in Court_Outcome,Date of next activity:_Day,Date of next activity:_Month,Date of next activity:_Year,Other Remarks_(Enter free text),"Tax Head eg VAT,WHT_Unnamed: 17_level_1",Amount in Dispute Ksh._Unnamed: 18_level_1,Representation (Advocate/Tax Agent/In Person)_Unnamed: 19_level_1
21.0,5.0,2024.0,RRC,E001,3.0,1.0,2023.0,RRC,25.0,1.0,2023.0,Active: Plaintiff to take date  at registry for inter parties hearing,,,,Recommended for dismissal ,,,
21.0,5.0,2024.0,RRC,E009,4.0,1.0,2023.0,RRC,5.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 74 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E010,4.0,1.0,2023.0,RRC,5.0,7.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E011,4.0,1.0,2023.0,RRC,5.0,7.0,2023.0,Active:Take date from registry,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E012,4.0,1.0,2023.0,RRC,20.0,4.0,2023.0,Active:Take date from registry,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E013,5.0,1.0,2023.0,RRC,24.0,1.0,2023.0,Active:Take date from registry,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E014,5.0,1.0,2023.0,RRC,9.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E018,6.0,1.0,2023.0,RRC,9.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E020,6.0,1.0,2023.0,RRC,9.0,5.0,2023.0,Active:Take date from registry,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E022,9.0,1.0,2023.0,RRC,10.0,1.0,2023.0,Active: Plaintiff to take date  at registry within 14 days,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E023,9.0,1.0,2023.0,RRC,8.0,1.0,2024.0,Active:Take date from registry,,,,Recommended for dismissal,,,
21.0,5.0,2024.0,RRC,E024,9.0,1.0,2023.0,RRC,26.0,4.0,2023.0,Active,,,,,,,
21.0,5.0,2024.0,RRC,E026,10.0,1.0,2023.0,RRC,8.0,6.0,2023.0,Active:Take date from registry,,,,Recommended for dismissal,,,
